dt_txt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,main,description,clouds,wind_speed,wind_degree,date,day,time_of_record
2020-01-30 11:30:00+05:30,17.09,17.09,17.09,1019,1019,992,51,Clear,clear sky,0,3.95,314,2020-01-30,Thursday,11:30:00
2020-01-30 14:30:00+05:30,19.68,19.68,19.68,1016,1016,989,37,Clear,clear sky,9,4.11,319,2020-01-30,Thursday,14:30:00
2020-01-30 17:30:00+05:30,17.49,17.49,17.49,1015,1015,988,44,Clear,clear sky,4,3.5,306,2020-01-30,Thursday,17:30:00
2020-01-30 20:30:00+05:30,14.36,14.36,14.36,1016,1016,989,48,Clear,clear sky,0,2.72,300,2020-01-30,Thursday,20:30:00
2020-01-30 23:30:00+05:30,12.31,12.31,12.31,1016,1016,989,49,Clear,clear sky,0,2.37,290,2020-01-30,Thursday,23:30:00
2020-01-31 02:30:00+05:30,11.2,11.2,11.2,1015,1015,988,50,Clear,clear sky,0,2.35,296,2020-01-31,Friday,02:30:00
2020-01-31 05:30:00+05:30,9.96,9.96,9.96,1014,1014,987,58,Clear,clear sky,0,2.25,291,2020-01-31,Friday,05:30:00
2020-01-31 08:30:00+05:30,10.87,10.87,10.87,1016,1016,989,66,Clear,clear sky,0,2.07,271,2020-01-31,Friday,08:30:00
2020-01-31 11:30:00+05:30,16.85,16.85,16.85,1016,1016,989,49,Clear,clear sky,0,2.09,305,2020-01-31,Friday,11:30:00
2020-01-31 14:30:00+05:30,19.48,19.48,19.48,1013,1013,986,35,Clear,clear sky,0,2.38,285,2020-01-31,Friday,14:30:00
2020-01-31 17:30:00+05:30,17.53,17.53,17.53,1012,1012,986,42,Clear,clear sky,0,2.52,267,2020-01-31,Friday,17:30:00
2020-01-31 20:30:00+05:30,14.69,14.69,14.69,1015,1015,988,47,Clear,clear sky,0,1.86,287,2020-01-31,Friday,20:30:00
2020-01-31 23:30:00+05:30,12.84,12.84,12.84,1016,1016,989,51,Clear,clear sky,0,1.57,283,2020-01-31,Friday,23:30:00
2020-02-01 02:30:00+05:30,11.82,11.82,11.82,1015,1015,988,49,Clear,clear sky,0,1.34,291,2020-02-01,Saturday,02:30:00
2020-02-01 05:30:00+05:30,11.36,11.36,11.36,1015,1015,988,52,Clear,clear sky,0,1.18,330,2020-02-01,Saturday,05:30:00
2020-02-01 08:30:00+05:30,12.95,12.95,12.95,1018,1018,991,54,Clear,clear sky,0,1.05,293,2020-02-01,Saturday,08:30:00
2020-02-01 11:30:00+05:30,18.37,18.37,18.37,1019,1019,992,38,Clear,clear sky,0,2.34,293,2020-02-01,Saturday,11:30:00
2020-02-01 14:30:00+05:30,20.66,20.66,20.66,1017,1017,990,28,Clear,clear sky,0,4.64,307,2020-02-01,Saturday,14:30:00
2020-01-28 17:30:00+05:30,18.83,17.53,18.83,1009,1009,982,65,Rain,light rain,51,3.17,128,2020-01-28,Tuesday,17:30:00
2020-01-28 20:30:00+05:30,16.2,15.22,16.2,1012,1012,985,77,Rain,light rain,57,0.92,135,2020-01-28,Tuesday,20:30:00
2020-01-28 23:30:00+05:30,14.96,14.31,14.96,1013,1013,986,78,Rain,light rain,28,0.59,130,2020-01-28,Tuesday,23:30:00
2020-01-29 02:30:00+05:30,14.65,14.32,14.65,1014,1014,986,76,Rain,light rain,61,2.62,295,2020-01-29,Wednesday,02:30:00
2020-01-29 05:30:00+05:30,13.25,13.25,13.25,1014,1014,987,78,Clouds,broken clouds,72,2.67,292,2020-01-29,Wednesday,05:30:00
2020-01-29 08:30:00+05:30,13.42,13.42,13.42,1017,1017,990,73,Clouds,broken clouds,67,1.65,314,2020-01-29,Wednesday,08:30:00
2020-01-29 11:30:00+05:30,18.34,18.34,18.34,1018,1018,991,44,Clouds,scattered clouds,34,2.96,303,2020-01-29,Wednesday,11:30:00
2020-01-29 14:30:00+05:30,20.58,20.58,20.58,1015,1015,988,35,Clear,clear sky,0,3.63,306,2020-01-29,Wednesday,14:30:00
2020-01-29 17:30:00+05:30,18.16,18.16,18.16,1015,1015,988,42,Clear,clear sky,0,3.54,299,2020-01-29,Wednesday,17:30:00
2020-01-29 20:30:00+05:30,15.88,15.88,15.88,1017,1017,990,46,Clear,clear sky,0,2.57,351,2020-01-29,Wednesday,20:30:00
2020-01-29 23:30:00+05:30,14.2,14.2,14.2,1018,1018,991,61,Clear,clear sky,0,1.99,349,2020-01-29,Wednesday,23:30:00
2020-01-30 02:30:00+05:30,13.05,13.05,13.05,1017,1017,990,68,Clear,clear sky,0,1.83,332,2020-01-30,Thursday,02:30:00
2020-01-30 05:30:00+05:30,11.14,11.14,11.14,1017,1017,990,74,Clear,clear sky,0,2.42,276,2020-01-30,Thursday,05:30:00
2020-01-30 08:30:00+05:30,11.58,11.58,11.58,1019,1019,992,72,Clear,clear sky,0,2.26,289,2020-01-30,Thursday,08:30:00
2020-01-30 11:30:00+05:30,17.21,17.21,17.21,1019,1019,993,48,Clear,clear sky,0,3.0,304,2020-01-30,Thursday,11:30:00
2020-01-30 14:30:00+05:30,19.73,19.73,19.73,1016,1016,989,36,Clear,clear sky,0,3.88,303,2020-01-30,Thursday,14:30:00
2020-01-30 17:30:00+05:30,17.59,17.59,17.59,1015,1015,989,43,Clear,clear sky,0,3.08,287,2020-01-30,Thursday,17:30:00
2020-01-30 20:30:00+05:30,14.61,14.61,14.61,1016,1016,990,47,Clear,clear sky,0,2.75,281,2020-01-30,Thursday,20:30:00
2020-01-30 23:30:00+05:30,12.91,12.91,12.91,1016,1016,990,48,Clear,clear sky,0,2.34,297,2020-01-30,Thursday,23:30:00
2020-01-31 02:30:00+05:30,11.61,11.61,11.61,1015,1015,988,55,Clear,clear sky,0,2.45,300,2020-01-31,Friday,02:30:00
2020-01-31 05:30:00+05:30,10.74,10.74,10.74,1015,1015,988,69,Clear,clear sky,0,2.05,292,2020-01-31,Friday,05:30:00
2020-01-31 08:30:00+05:30,11.8,11.8,11.8,1016,1016,989,71,Clear,clear sky,0,1.64,293,2020-01-31,Friday,08:30:00
2020-01-31 11:30:00+05:30,17.15,17.15,17.15,1016,1016,989,52,Clear,clear sky,0,2.37,302,2020-01-31,Friday,11:30:00
2020-01-31 14:30:00+05:30,19.77,19.77,19.77,1013,1013,986,38,Clear,clear sky,0,2.76,276,2020-01-31,Friday,14:30:00
2020-01-31 17:30:00+05:30,17.79,17.79,17.79,1012,1012,986,43,Clear,clear sky,0,1.99,270,2020-01-31,Friday,17:30:00
2020-01-31 20:30:00+05:30,14.95,14.95,14.95,1015,1015,988,46,Clear,clear sky,0,2.11,295,2020-01-31,Friday,20:30:00
2020-01-31 23:30:00+05:30,13.15,13.15,13.15,1015,1015,989,48,Clear,clear sky,0,1.61,305,2020-01-31,Friday,23:30:00
